schoolnr,pupilnr,iq_verb,iq_perf,sex,minority,repeatgr,aritpret,classnr,aritpost,langpret,langpost,ses,denomina,schoolses,satiprin,natitest,meetings,currmeet,mixedgra,percmino,aritdiff,homework,classsiz,groupsiz
1.0,11.0,5.5,9.0,1.0,1.0,0.0,11.0,180.0,19.0,18.0,29.0,10.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,12.0,14.0,9.333,0.0,0.0,0.0,10.0,180.0,23.0,36.0,40.0,18.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,13.0,9.0,9.0,0.0,1.0,0.0,10.0,180.0,18.0,31.0,41.0,15.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,14.0,10.5,13.0,0.0,1.0,0.0,12.0,180.0,22.0,34.0,47.0,20.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,15.0,10.0,8.666,0.0,1.0,0.0,9.0,180.0,15.0,31.0,33.0,10.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,16.0,11.0,12.33,0.0,0.0,0.0,13.0,180.0,21.0,32.0,37.0,20.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,17.0,6.5,7.333,1.0,0.0,0.0,9.0,180.0,13.0,23.0,29.0,13.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,18.0,4.0,9.333,1.0,1.0,1.0,9.0,180.0,12.0,20.0,26.0,10.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,19.0,11.0,6.666,1.0,1.0,0.0,7.0,180.0,11.0,27.0,37.0,10.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,20.0,11.0,11.0,1.0,1.0,0.0,16.0,180.0,23.0,31.0,40.0,15.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,21.0,11.0,11.0,1.0,0.0,1.0,16.0,180.0,17.0,24.0,27.0,10.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,22.0,12.5,10.0,1.0,0.0,0.0,9.0,180.0,16.0,35.0,43.0,13.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,23.0,11.5,11.0,1.0,1.0,0.0,14.0,180.0,24.0,32.0,39.0,10.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,24.0,10.0,6.666,1.0,1.0,0.0,12.0,180.0,16.0,25.0,21.0,10.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,25.0,10.0,9.333,1.0,1.0,0.0,17.0,180.0,11.0,33.0,42.0,10.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
2.0,26.0,11.5,7.333,1.0,0.0,1.0,3.0,280.0,6.0,22.0,21.0,15.0,1.0,11.0,3.0,0.0,1.6,1.666,1.0,10.0,27.0,1.666,19.0,9.0
2.0,27.0,10.5,9.333,0.0,0.0,0.0,4.0,280.0,8.0,33.0,27.0,15.0,1.0,11.0,3.0,0.0,1.6,1.666,1.0,10.0,27.0,1.666,19.0,9.0
2.0,28.0,8.0,9.333,0.0,0.0,0.0,11.0,280.0,9.0,22.0,16.0,20.0,1.0,11.0,3.0,0.0,1.6,1.666,1.0,10.0,27.0,1.666,19.0,9.0
2.0,29.0,7.5,7.666,1.0,0.0,1.0,9.0,280.0,9.0,25.0,31.0,15.0,1.0,11.0,3.0,0.0,1.6,1.666,1.0,10.0,27.0,1.666,19.0,9.0
2.0,30.0,7.5,11.33,0.0,1.0,1.0,11.0,280.0,18.0,27.0,21.0,10.0,1.0,11.0,3.0,0.0,1.6,1.666,1.0,10.0,27.0,1.666,19.0,9.0
2.0,31.0,6.5,6.666,1.0,0.0,0.0,9.0,280.0,5.0,23.0,18.0,23.0,1.0,11.0,3.0,0.0,1.6,1.666,1.0,10.0,27.0,1.666,19.0,9.0
2.0,32.0,11.5,12.66,0.0,0.0,0.0,10.0,280.0,9.0,30.0,32.0,10.0,1.0,11.0,3.0,0.0,1.6,1.666,1.0,10.0,27.0,1.666,19.0,9.0
10.0,33.0,10.5,8.666,0.0,0.0,0.0,5.0,1082.0,14.0,26.0,28.0,15.0,1.0,15.0,3.0,0.0,2.6,2.666,1.0,4.0,27.0,2.0,25.0,10.0
10.0,34.0,10.5,12.0,0.0,0.0,0.0,11.0,1082.0,22.0,25.0,33.0,20.0,1.0,15.0,3.0,0.0,2.6,2.666,1.0,4.0,27.0,2.0,25.0,10.0
10.0,35.0,12.5,7.333,1.0,0.0,0.0,10.0,1082.0,17.0,31.0,38.0,20.0,1.0,15.0,3.0,0.0,2.6,2.666,1.0,4.0,27.0,2.0,25.0,10.0
10.0,36.0,8.0,9.0,1.0,0.0,0.0,6.0,1082.0,8.0,20.0,14.0,10.0,1.0,15.0,3.0,0.0,2.6,2.666,1.0,4.0,27.0,2.0,25.0,10.0
10.0,37.0,11.0,8.333,1.0,0.0,0.0,8.0,1082.0,10.0,30.0,39.0,33.0,1.0,15.0,3.0,0.0,2.6,2.666,1.0,4.0,27.0,2.0,25.0,10.0
12.0,38.0,9.5,9.666,0.0,0.0,0.0,8.0,1280.0,15.0,23.0,23.0,27.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
12.0,39.0,10.5,11.33,1.0,0.0,0.0,10.0,1280.0,16.0,33.0,43.0,33.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
12.0,40.0,8.5,12.0,1.0,0.0,0.0,7.0,1280.0,5.0,18.0,25.0,33.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
12.0,41.0,7.5,7.333,1.0,0.0,0.0,6.0,1280.0,3.0,25.0,24.0,28.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
12.0,42.0,11.0,10.33,1.0,0.0,0.0,8.0,1280.0,5.0,37.0,41.0,37.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
12.0,43.0,10.5,12.33,0.0,0.0,0.0,11.0,1280.0,18.0,20.0,32.0,30.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
12.0,44.0,10.5,8.333,0.0,0.0,0.0,9.0,1280.0,8.0,28.0,26.0,20.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
12.0,45.0,9.5,9.333,0.0,0.0,0.0,9.0,1280.0,11.0,30.0,21.0,40.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
12.0,46.0,10.0,11.66,0.0,0.0,0.0,9.0,1280.0,10.0,29.0,37.0,20.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
12.0,47.0,11.5,11.33,1.0,0.0,0.0,11.0,1280.0,12.0,23.0,30.0,17.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
12.0,48.0,9.5,9.666,1.0,0.0,0.0,9.0,1280.0,6.0,33.0,41.0,20.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
12.0,49.0,9.0,8.0,1.0,0.0,0.0,10.0,1280.0,5.0,25.0,31.0,50.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
12.0,50.0,8.0,7.666,1.0,0.0,0.0,8.0,1280.0,10.0,21.0,27.0,20.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
12.0,51.0,7.5,7.0,1.0,0.0,0.0,9.0,1280.0,9.0,29.0,33.0,27.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
12.0,52.0,8.5,6.333,1.0,0.0,0.0,6.0,1280.0,11.0,27.0,29.0,40.0,1.0,20.0,3.142,0.0,2.7,2.666,1.0,5.0,17.0,1.333,31.0,20.0
15.0,53.0,14.0,8.333,0.0,0.0,0.0,11.0,1580.0,13.0,36.0,31.0,40.0,3.0,18.0,3.428,0.0,1.9,2.0,1.0,25.0,21.0,2.0,35.0,11.0
15.0,54.0,8.5,7.333,0.0,0.0,0.0,5.0,1580.0,9.0,18.0,18.0,20.0,3.0,18.0,3.428,0.0,1.9,2.0,1.0,25.0,21.0,2.0,35.0,11.0
15.0,55.0,13.0,15.33,0.0,0.0,1.0,9.0,1580.0,18.0,30.0,37.0,40.0,3.0,18.0,3.428,0.0,1.9,2.0,1.0,25.0,21.0,2.0,35.0,11.0
15.0,56.0,10.5,10.66,1.0,0.0,1.0,5.0,1580.0,11.0,35.0,22.0,25.0,3.0,18.0,3.428,0.0,1.9,2.0,1.0,25.0,21.0,2.0,35.0,11.0
15.0,57.0,15.0,9.666,1.0,0.0,0.0,16.0,1580.0,20.0,38.0,43.0,20.0,3.0,18.0,3.428,0.0,1.9,2.0,1.0,25.0,21.0,2.0,35.0,11.0
15.0,58.0,9.0,6.333,1.0,0.0,0.0,4.0,1580.0,6.0,15.0,9.0,30.0,3.0,18.0,3.428,0.0,1.9,2.0,1.0,25.0,21.0,2.0,35.0,11.0
15.0,59.0,10.0,15.0,0.0,0.0,0.0,18.0,1580.0,19.0,36.0,41.0,30.0,3.0,18.0,3.428,0.0,1.9,2.0,1.0,25.0,21.0,2.0,35.0,11.0
15.0,60.0,12.0,12.66,0.0,0.0,0.0,3.0,1580.0,24.0,37.0,46.0,20.0,3.0,18.0,3.428,0.0,1.9,2.0,1.0,25.0,21.0,2.0,35.0,11.0
16.0,61.0,11.0,12.0,0.0,0.0,1.0,14.0,1680.0,18.0,31.0,34.0,23.0,2.0,13.0,3.142,0.0,2.111,2.166,1.0,0.0,19.0,1.666,28.0,13.0
16.0,62.0,11.0,11.66,1.0,0.0,0.0,12.0,1680.0,23.0,40.0,47.0,33.0,2.0,13.0,3.142,0.0,2.111,2.166,1.0,0.0,19.0,1.666,28.0,13.0
16.0,63.0,12.5,9.666,0.0,0.0,0.0,14.0,1680.0,23.0,32.0,44.0,27.0,2.0,13.0,3.142,0.0,2.111,2.166,1.0,0.0,19.0,1.666,28.0,13.0
16.0,64.0,13.0,16.33,0.0,0.0,0.0,15.0,1680.0,22.0,44.0,50.0,27.0,2.0,13.0,3.142,0.0,2.111,2.166,1.0,0.0,19.0,1.666,28.0,13.0
16.0,65.0,12.5,11.66,0.0,0.0,0.0,7.0,1680.0,21.0,44.0,45.0,23.0,2.0,13.0,3.142,0.0,2.111,2.166,1.0,0.0,19.0,1.666,28.0,13.0
16.0,66.0,11.0,9.666,1.0,0.0,0.0,12.0,1680.0,14.0,41.0,43.0,30.0,2.0,13.0,3.142,0.0,2.111,2.166,1.0,0.0,19.0,1.666,28.0,13.0
16.0,67.0,11.5,6.666,0.0,0.0,0.0,7.0,1680.0,8.0,32.0,34.0,35.0,2.0,13.0,3.142,0.0,2.111,2.166,1.0,0.0,19.0,1.666,28.0,13.0
16.0,68.0,11.0,9.666,0.0,0.0,0.0,16.0,1680.0,19.0,32.0,35.0,37.0,2.0,13.0,3.142,0.0,2.111,2.166,1.0,0.0,19.0,1.666,28.0,13.0
18.0,69.0,9.5,8.666,0.0,0.0,1.0,3.0,1880.0,8.0,24.0,22.0,23.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,70.0,9.5,9.666,1.0,0.0,0.0,9.0,1880.0,11.0,30.0,27.0,15.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,71.0,15.0,11.33,1.0,0.0,0.0,12.0,1880.0,20.0,46.0,45.0,50.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,72.0,11.5,10.0,1.0,0.0,0.0,13.0,1880.0,11.0,36.0,45.0,27.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,73.0,13.0,12.33,0.0,0.0,0.0,11.0,1880.0,15.0,30.0,38.0,35.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,74.0,10.5,11.66,0.0,0.0,0.0,7.0,1880.0,6.0,30.0,24.0,33.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,75.0,13.0,9.333,1.0,0.0,0.0,13.0,1880.0,16.0,41.0,50.0,25.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,76.0,11.0,8.666,0.0,0.0,0.0,10.0,1880.0,8.0,26.0,22.0,20.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,77.0,14.0,13.66,0.0,0.0,0.0,12.0,1880.0,20.0,37.0,43.0,30.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,78.0,13.5,12.66,0.0,0.0,0.0,12.0,1880.0,16.0,38.0,28.0,28.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,79.0,10.5,8.0,0.0,0.0,0.0,10.0,1880.0,7.0,35.0,38.0,33.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,80.0,9.5,8.333,0.0,0.0,0.0,7.0,1880.0,16.0,29.0,20.0,25.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,81.0,15.5,11.33,0.0,0.0,0.0,9.0,1880.0,11.0,39.0,40.0,33.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,82.0,12.0,16.33,0.0,0.0,0.0,14.0,1880.0,20.0,41.0,47.0,50.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,83.0,11.0,11.66,0.0,0.0,0.0,9.0,1880.0,6.0,29.0,20.0,15.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,84.0,11.0,10.66,1.0,0.0,0.0,6.0,1880.0,6.0,32.0,28.0,25.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,85.0,13.0,10.33,0.0,0.0,0.0,12.0,1880.0,14.0,38.0,33.0,50.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,86.0,11.5,9.0,0.0,0.0,0.0,7.0,1880.0,7.0,16.0,21.0,30.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,87.0,12.5,11.0,1.0,0.0,0.0,16.0,1880.0,26.0,41.0,44.0,38.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,88.0,12.0,12.33,0.0,0.0,0.0,9.0,1880.0,15.0,33.0,43.0,20.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,89.0,10.0,11.66,0.0,0.0,0.0,11.0,1880.0,6.0,29.0,18.0,35.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,90.0,10.5,10.33,1.0,0.0,0.0,11.0,1880.0,19.0,41.0,31.0,50.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,91.0,11.5,7.0,1.0,0.0,0.0,8.0,1880.0,11.0,29.0,21.0,35.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
18.0,92.0,11.0,12.33,0.0,0.0,0.0,8.0,1880.0,15.0,34.0,41.0,35.0,1.0,20.0,4.0,0.0,1.2,1.166,0.0,0.0,25.0,1.666,28.0,28.0
21.0,93.0,14.5,13.33,0.0,0.0,0.0,16.0,2180.0,30.0,34.0,48.0,20.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,94.0,13.0,11.0,1.0,0.0,0.0,11.0,2180.0,12.0,38.0,43.0,18.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,95.0,8.5,13.33,0.0,0.0,1.0,9.0,2180.0,14.0,27.0,32.0,18.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,96.0,11.5,11.33,0.0,0.0,0.0,10.0,2180.0,10.0,31.0,17.0,20.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,97.0,8.5,9.666,0.0,0.0,0.0,4.0,2180.0,14.0,15.0,27.0,20.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,98.0,13.0,9.0,0.0,0.0,0.0,13.0,2180.0,17.0,45.0,55.0,28.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,99.0,12.5,10.0,1.0,0.0,0.0,9.0,2180.0,14.0,43.0,45.0,28.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,100.0,13.5,8.666,1.0,0.0,0.0,9.0,2180.0,12.0,34.0,36.0,18.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,101.0,8.0,9.666,0.0,0.0,1.0,10.0,2180.0,6.0,25.0,24.0,18.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,102.0,9.0,10.66,1.0,0.0,1.0,9.0,2180.0,11.0,30.0,35.0,18.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,103.0,11.5,11.66,0.0,0.0,0.0,12.0,2180.0,16.0,39.0,43.0,23.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,104.0,13.0,11.66,1.0,0.0,0.0,15.0,2180.0,18.0,38.0,48.0,23.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,105.0,14.5,11.0,1.0,0.0,0.0,11.0,2180.0,11.0,41.0,38.0,23.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,106.0,12.0,11.66,0.0,0.0,0.0,11.0,2180.0,19.0,38.0,44.0,20.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,107.0,12.0,12.66,0.0,0.0,0.0,15.0,2180.0,27.0,44.0,47.0,18.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,108.0,13.5,14.0,0.0,0.0,0.0,11.0,2180.0,23.0,38.0,36.0,23.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
21.0,109.0,11.5,11.33,1.0,0.0,0.0,10.0,2180.0,19.0,31.0,41.0,25.0,2.0,15.0,2.857,0.0,1.8,1.666,0.0,0.0,16.0,2.0,19.0,19.0
24.0,110.0,12.0,11.66,0.0,0.0,1.0,18.0,2480.0,26.0,43.0,41.0,23.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,111.0,10.0,11.33,1.0,0.0,0.0,9.0,2480.0,13.0,23.0,26.0,20.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,112.0,14.0,9.333,1.0,0.0,0.0,13.0,2480.0,16.0,47.0,52.0,20.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,113.0,12.5,9.333,0.0,0.0,0.0,15.0,2480.0,28.0,34.0,43.0,10.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,114.0,13.0,13.0,0.0,0.0,0.0,20.0,2480.0,29.0,43.0,54.0,20.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,115.0,11.5,7.666,1.0,0.0,0.0,14.0,2480.0,29.0,33.0,49.0,30.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,116.0,15.5,12.33,0.0,0.0,0.0,16.0,2480.0,29.0,41.0,51.0,20.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,117.0,13.5,12.66,0.0,0.0,0.0,17.0,2480.0,29.0,37.0,47.0,23.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,118.0,12.0,11.0,1.0,0.0,0.0,14.0,2480.0,22.0,43.0,51.0,17.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,119.0,12.0,11.66,1.0,0.0,0.0,15.0,2480.0,27.0,37.0,51.0,23.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,120.0,8.5,11.33,1.0,0.0,0.0,9.0,2480.0,19.0,31.0,34.0,20.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,121.0,10.5,12.0,1.0,0.0,0.0,16.0,2480.0,28.0,40.0,51.0,23.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,122.0,10.0,10.0,1.0,0.0,0.0,13.0,2480.0,26.0,33.0,49.0,23.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,123.0,9.0,8.666,1.0,0.0,0.0,15.0,2480.0,18.0,26.0,42.0,37.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,124.0,13.0,5.333,1.0,0.0,0.0,12.0,2480.0,23.0,40.0,50.0,17.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,125.0,6.5,9.333,1.0,0.0,0.0,10.0,2480.0,21.0,29.0,33.0,17.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,126.0,13.5,9.666,1.0,0.0,0.0,11.0,2480.0,23.0,38.0,46.0,33.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,127.0,16.5,10.33,0.0,0.0,0.0,15.0,2480.0,28.0,44.0,57.0,20.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,128.0,10.5,12.33,0.0,0.0,0.0,14.0,2480.0,27.0,33.0,35.0,30.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,129.0,13.5,9.666,0.0,0.0,0.0,17.0,2480.0,23.0,29.0,44.0,27.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,130.0,12.0,13.0,0.0,0.0,0.0,11.0,2480.0,25.0,33.0,36.0,23.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,131.0,12.5,14.33,0.0,0.0,0.0,15.0,2480.0,29.0,44.0,50.0,23.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,132.0,13.0,12.66,1.0,0.0,0.0,11.0,2480.0,20.0,33.0,38.0,27.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
24.0,133.0,12.0,9.333,1.0,0.0,0.0,14.0,2480.0,26.0,31.0,49.0,27.0,2.0,16.0,3.571,0.0,2.7,2.833,0.0,0.0,17.0,2.666,35.0,35.0
26.0,134.0,10.5,9.0,0.0,0.0,1.0,10.0,2680.0,13.0,27.0,26.0,20.0,2.0,19.0,3.142,0.0,2.1,2.0,0.0,5.0,12.0,3.0,21.0,21.0
26.0,135.0,12.0,12.33,0.0,0.0,0.0,15.0,2680.0,25.0,37.0,48.0,35.0,2.0,19.0,3.142,0.0,2.1,2.0,0.0,5.0,12.0,3.0,21.0,21.0
26.0,136.0,12.5,11.66,0.0,0.0,0.0,8.0,2680.0,18.0,32.0,32.0,40.0,2.0,19.0,3.142,0.0,2.1,2.0,0.0,5.0,12.0,3.0,21.0,21.0
