id,gender,math,daysabs,prog
1092,female,70,5,Academic
1093,male,96,5,Academic
1094,female,70,29,General
1095,female,10,7,Academic
1096,male,14,1,Academic
1097,male,20,9,Academic
1098,male,11,11,Academic
1099,male,42,18,Academic
1100,male,2,12,Academic
1101,male,24,6,General
1102,male,37,0,Academic
1103,male,13,4,Academic
1104,male,3,10,Academic
1105,male,70,19,General
1106,female,27,1,Academic
1107,female,1,12,General
1108,female,61,3,Academic
1109,male,44,0,Academic
1110,male,35,9,Academic
1111,male,78,14,Academic
1112,female,3,7,Academic
1113,male,21,3,Academic
1114,male,26,10,Academic
1115,male,44,12,Academic
1116,female,47,6,Academic
1117,female,35,35,Academic
1118,female,8,16,General
1119,female,87,3,Academic
1120,male,3,10,Academic
1121,male,6,6,Academic
1122,male,89,3,General
1123,male,13,2,Academic
1124,male,84,6,Academic
1125,male,90,5,Academic
1126,female,71,13,Academic
1127,female,15,7,General
1128,female,41,5,Academic
1129,female,63,3,Academic
1130,female,34,30,Academic
1131,female,45,16,Academic
1132,female,29,15,Academic
1133,female,3,12,Academic
1134,male,35,1,Academic
1135,male,32,4,General
1136,male,22,7,Academic
1137,female,81,1,Academic
1139,female,73,10,Academic
1140,male,69,3,Academic
1141,female,27,30,General
1142,female,13,2,Academic
1143,female,76,13,Academic
1144,female,7,5,General
1145,male,59,5,Academic
1146,female,29,5,Academic
1147,female,57,4,Academic
1148,female,44,3,Academic
1149,female,53,20,Academic
1150,female,23,12,Academic
1151,female,29,34,General
1152,male,40,6,Academic
1153,male,49,14,Academic
1154,female,38,16,General
1155,male,31,9,General
1156,female,21,15,General
1157,male,8,15,General
1158,male,37,0,Academic
1159,male,53,1,Academic
2001,female,31,4,Vocational
2002,male,57,0,Vocational
2003,male,57,0,Vocational
2004,male,59,2,Vocational
2005,female,29,1,Vocational
2006,female,41,2,Academic
2007,male,71,0,Vocational
2008,female,59,0,Vocational
2009,male,71,0,Vocational
2010,female,70,7,Vocational
2011,male,77,2,Vocational
2012,female,70,9,Academic
2013,female,87,6,Vocational
2014,male,59,4,Vocational
2015,male,65,1,Vocational
2016,female,28,7,Academic
2017,male,77,0,Vocational
2018,male,65,0,Vocational
2019,female,73,4,Vocational
2020,male,99,2,Academic
2021,female,57,0,Vocational
2022,female,77,4,Vocational
2023,female,57,2,Academic
2024,female,47,21,General
2025,female,24,1,Vocational
2026,male,84,0,Vocational
2027,female,73,1,Vocational
2028,male,81,16,Vocational
2029,female,52,9,General
2030,female,75,16,Vocational
2031,male,65,0,Academic
2032,female,44,11,General
2033,male,44,1,Vocational
2034,female,79,2,Vocational
2035,female,20,3,Vocational
2036,female,16,4,Academic
2037,female,99,2,Academic
2038,female,71,7,General
2039,male,46,7,Vocational
2040,female,57,0,Academic
2041,female,67,1,Academic
2042,female,87,1,Vocational
2043,female,70,0,Vocational
2044,female,21,13,Vocational
2045,female,31,1,Vocational
2046,male,63,0,Vocational
2047,female,44,1,Academic
2048,male,34,0,Vocational
2049,female,77,4,General
2050,female,94,0,Vocational
2051,female,41,4,General
2052,female,67,0,Vocational
2053,female,61,2,Vocational
2054,male,82,0,Vocational
2055,female,63,4,General
2056,male,63,0,Vocational
2057,female,77,4,Vocational
2058,male,46,3,Vocational
2059,male,8,1,Vocational
2060,female,61,0,Academic
2061,female,71,1,Academic
2062,female,65,4,Vocational
2063,female,41,1,Academic
2064,male,16,9,Academic
2065,female,22,0,Vocational
2066,male,57,4,Academic
2067,female,51,8,Academic
2068,male,74,13,Academic
2069,male,41,0,Vocational
2070,male,87,0,Vocational
2071,male,67,0,Vocational
2072,female,99,0,Academic
2073,female,63,2,Academic
2074,female,65,5,Vocational
2075,female,71,1,Vocational
2076,male,77,0,Vocational
2077,female,67,3,General
2078,female,79,1,Academic
2079,female,20,2,Vocational
2080,male,84,4,General
2081,male,28,5,Academic
2082,female,20,3,Vocational
2083,male,26,1,Vocational
2084,female,75,3,Academic
2085,female,63,6,Vocational
2086,male,39,8,Vocational
2087,male,32,21,Academic
2088,male,15,1,Academic
2089,female,55,7,Vocational
2090,female,32,5,Academic
2091,male,34,1,Academic
2092,female,67,1,Vocational
2093,female,41,0,Vocational
2094,male,41,4,Vocational
2095,female,29,0,Academic
2096,male,43,14,Vocational
2097,female,77,2,Academic
2098,female,53,2,Vocational
2099,female,44,2,Vocational
2100,male,51,0,Vocational
2101,male,67,1,Vocational
2102,male,49,19,Vocational
2103,female,37,2,Academic
2104,male,65,11,Vocational
2105,male,43,3,General
2106,female,48,5,Academic
2107,female,99,16,General
2108,female,34,0,Vocational
2109,male,87,5,Vocational
2110,male,75,3,Vocational
2111,female,57,2,Academic
2112,male,61,2,Vocational
2113,male,73,8,General
2114,female,70,0,Vocational
2115,female,99,3,Vocational
2116,male,73,0,Vocational
2117,male,66,1,Vocational
2118,male,57,9,Academic
2119,male,77,1,Vocational
2120,male,53,0,Vocational
2121,male,73,0,Vocational
2122,male,84,1,Vocational
2123,male,83,12,Academic
2124,female,77,3,Vocational
2125,male,44,0,Vocational
2126,female,79,1,Vocational
2127,male,53,8,General
2128,female,43,1,Vocational
2129,male,46,1,Vocational
2130,female,35,7,Academic
2131,female,63,6,Vocational
2132,female,75,0,Vocational
2133,female,84,8,Vocational
2134,male,41,0,Academic
2135,female,32,1,Vocational
2136,male,12,0,Academic
2137,male,61,4,Vocational
2138,female,99,17,Academic
2139,male,67,9,General
2140,female,35,0,Vocational
2141,female,70,0,Vocational
2142,female,87,1,Vocational
2143,male,70,3,Vocational
2144,male,57,1,Academic
2145,male,44,2,Vocational
2146,female,26,2,Vocational
2147,male,63,2,Vocational
2148,female,8,5,Academic
2150,male,63,3,Vocational
2151,female,59,7,Vocational
2152,female,46,1,Vocational
2153,male,26,1,Academic
2154,female,79,3,Vocational
2155,female,59,0,Academic
2156,female,90,0,Vocational
2157,female,77,2,Vocational
